epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1760.8866327983644,1.16384,1.51923,1.25913,0.05,0.05,0.05,0.02683,1.24734,0.95105,1.26914,0.00068,0.00068,0.00068
39,1807.0088918911642,1.15675,1.5101,1.22306,0.05,0.05,0.05,0.02659,1.23846,0.9179,1.26942,0.00067,0.00067,0.00067
40,1857.2443834042251,1.1683,1.43847,1.2349,0.05,0.05,0.05,0.02482,1.20479,0.91543,1.2259,0.00066,0.00066,0.00066
41,1910.6640218615144,1.16092,1.43795,1.18419,0.05,0.05,0.05,0.02369,1.18273,0.8959,1.22809,0.00064,0.00064,0.00064
42,1953.3696005471697,1.13209,1.43088,1.18055,0.06871,0.05,0.05,0.03711,1.18133,0.86454,1.18035,0.00063,0.00063,0.00063
43,2003.7630047143261,1.10954,1.34491,1.17634,0.05987,0.05,0.05,0.03887,1.16474,0.80991,1.18771,0.00061,0.00061,0.00061
44,2048.5704623668225,1.08968,1.35403,1.16752,0.05723,0.06082,0.05305,0.03823,1.13757,0.81641,1.18453,0.00059,0.00059,0.00059
45,2092.7073258671185,1.05062,1.32972,1.11071,0.07538,0.07128,0.05705,0.05131,1.12292,0.77592,1.10964,0.00058,0.00058,0.00058
46,2142.125625554552,1.05088,1.31524,1.11307,0.08412,0.0685,0.06539,0.04034,1.11895,0.78414,1.11921,0.00056,0.00056,0.00056
47,2190.387239946619,1.04174,1.2508,1.09583,0.07459,0.08367,0.07064,0.04195,1.07986,0.75905,1.12487,0.00055,0.00055,0.00055
48,2227.5052791616977,1.05834,1.2259,1.07832,0.10658,0.08473,0.09313,0.05031,1.0672,0.7197,1.09881,0.00053,0.00053,0.00053
49,2279.8879809103273,1.03085,1.24031,1.11323,0.11706,0.09527,0.07951,0.05804,1.06485,0.70712,1.09363,0.00052,0.00052,0.00052
50,2331.7884376810644,0.97601,1.21415,1.07302,0.13749,0.09915,0.08905,0.0643,1.0603,0.68072,1.06574,0.0005,0.0005,0.0005
51,2373.6606241735167,1.00555,1.1923,1.02716,0.16089,0.11414,0.09801,0.06704,1.05657,0.67815,1.06337,0.00048,0.00048,0.00048
52,2420.639641840704,0.97964,1.17402,1.05861,0.1705,0.12277,0.10894,0.07552,1.06295,0.6766,1.0475,0.00047,0.00047,0.00047
53,2468.1097927721175,0.96253,1.13398,1.07099,0.17599,0.1388,0.11973,0.07339,1.04309,0.63132,1.05559,0.00045,0.00045,0.00045
54,2514.413161601237,0.97748,1.1334,1.0379,0.18721,0.16908,0.14484,0.09313,1.01769,0.63813,1.0306,0.00044,0.00044,0.00044
55,2556.66163583201,0.97547,1.11643,0.97595,0.23586,0.16812,0.15977,0.09215,1.01012,0.6077,1.02099,0.00042,0.00042,0.00042
56,2598.3035189923194,0.96348,1.07872,0.98612,0.23623,0.2129,0.16018,0.10519,0.98611,0.58942,0.99932,0.00041,0.00041,0.00041
57,2643.175748637362,0.91847,1.11336,1.01097,0.25761,0.21297,0.17376,0.10877,0.99202,0.58593,0.98817,0.00039,0.00039,0.00039
58,2694.039393733659,0.91984,1.06915,0.96165,0.28023,0.22874,0.19936,0.11719,0.97951,0.55877,0.97937,0.00038,0.00038,0.00038
59,2741.757394506631,0.92379,1.02004,0.97519,0.30606,0.23966,0.20976,0.12601,0.98059,0.55328,0.98253,0.00036,0.00036,0.00036
60,2784.9043228462006,0.92816,1.04173,0.97265,0.32838,0.27239,0.23669,0.13406,0.95561,0.5314,0.96141,0.00035,0.00035,0.00035
61,2833.7628163994423,0.89089,0.99436,0.92978,0.35091,0.28339,0.25337,0.14409,0.96841,0.5671,0.96353,0.00033,0.00033,0.00033
62,2864.520103296292,0.8889,1.01536,0.93858,0.37782,0.31105,0.26205,0.15695,0.97654,0.52688,0.98211,0.00032,0.00032,0.00032
63,2915.2639317981525,0.86293,1.00905,0.8667,0.4092,0.35342,0.30516,0.16109,0.94516,0.50502,0.95617,0.0003,0.0003,0.0003
64,2951.565362904262,0.85388,0.95619,0.90308,0.43279,0.35572,0.32946,0.17379,0.94636,0.50832,0.93064,0.00029,0.00029,0.00029
65,2994.7531581972466,0.88708,0.97906,0.91082,0.4593,0.38979,0.33596,0.18026,0.94451,0.49342,0.94627,0.00027,0.00027,0.00027
66,3034.154808724116,0.89126,0.95567,0.88349,0.49372,0.39953,0.36161,0.19866,0.92224,0.48218,0.91515,0.00026,0.00026,0.00026
67,3072.6814013455114,0.85626,0.95191,0.93393,0.51849,0.42972,0.39096,0.19909,0.92598,0.48547,0.88398,0.00025,0.00025,0.00025
68,3123.485535282404,0.87158,0.96186,0.86575,0.55984,0.46917,0.4164,0.2227,0.91741,0.47875,0.89298,0.00023,0.00023,0.00023
69,3166.1470292758445,0.8528,0.90788,0.87887,0.5533,0.47498,0.44406,0.22491,0.91353,0.45091,0.87384,0.00022,0.00022,0.00022
70,3212.879548684498,0.82696,0.88695,0.88383,0.60919,0.51935,0.47907,0.22951,0.89554,0.44204,0.89067,0.00021,0.00021,0.00021
71,3257.644945790102,0.84161,0.87385,0.90381,0.63549,0.53506,0.48931,0.24895,0.90278,0.43868,0.8905,0.00019,0.00019,0.00019
72,3305.0301499262177,0.85987,0.86529,0.84025,0.63299,0.54902,0.51036,0.25659,0.90538,0.40072,0.90987,0.00018,0.00018,0.00018
73,3350.414259381519,0.82333,0.87038,0.88642,0.66976,0.58212,0.53138,0.2759,0.91537,0.40525,0.88434,0.00017,0.00017,0.00017
74,3388.9992982605763,0.85048,0.86939,0.85775,0.69127,0.60771,0.56056,0.28007,0.90387,0.44151,0.87108,0.00016,0.00016,0.00016
75,3438.980632357812,0.76212,0.85907,0.83249,0.70347,0.62698,0.58951,0.29266,0.91784,0.43897,0.88193,0.00015,0.00015,0.00015
76,3481.5118494420053,0.82646,0.86136,0.85613,0.72772,0.63065,0.62567,0.29685,0.87027,0.40412,0.83164,0.00014,0.00014,0.00014
77,3518.7289399487067,0.80745,0.83666,0.84582,0.74298,0.65765,0.63205,0.31527,0.89127,0.41031,0.86384,0.00012,0.00012,0.00012
78,3561.5883641438772,0.79558,0.85734,0.82496,0.78253,0.68076,0.65891,0.31642,0.87749,0.40039,0.86754,0.00011,0.00011,0.00011
79,3614.092163097049,0.79941,0.81512,0.83365,0.79139,0.70038,0.67794,0.33138,0.9043,0.43619,0.82964,0.0001,0.0001,0.0001
80,3663.3432718076165,0.754,0.86724,0.81999,0.80825,0.72312,0.70606,0.35356,0.85618,0.40131,0.86499,9e-05,9e-05,9e-05
81,3706.600011135577,0.78568,0.81803,0.82558,0.81686,0.7357,0.73407,0.36383,0.85271,0.37732,0.84907,9e-05,9e-05,9e-05
82,3749.8537226139847,0.79369,0.7813,0.83231,0.81396,0.73867,0.73022,0.37182,0.85344,0.35984,0.83408,8e-05,8e-05,8e-05
83,3793.245547357898,0.81271,0.7702,0.84669,0.82964,0.76643,0.74699,0.37429,0.82782,0.34521,0.84626,7e-05,7e-05,7e-05
84,3848.629287275702,0.76953,0.79468,0.78626,0.84762,0.78131,0.77313,0.38794,0.84917,0.36768,0.86743,6e-05,6e-05,6e-05
85,3895.53896453686,0.76059,0.7742,0.84986,0.84287,0.79296,0.78494,0.39682,0.84316,0.34879,0.83282,5e-05,5e-05,5e-05
86,3942.6891727728153,0.76371,0.7868,0.76447,0.86645,0.80825,0.80641,0.3993,0.8544,0.33448,0.83068,5e-05,5e-05,5e-05
87,3992.8405900429743,0.78917,0.77605,0.79692,0.86613,0.81651,0.80989,0.42046,0.85498,0.34197,0.81705,4e-05,4e-05,4e-05
88,4039.034535838107,0.77465,0.7594,0.80828,0.87164,0.8229,0.81466,0.42478,0.8758,0.33145,0.80829,3e-05,3e-05,3e-05
89,4082.7393251090034,0.75481,0.73839,0.79881,0.88626,0.82727,0.80177,0.42634,0.85982,0.36916,0.83071,3e-05,3e-05,3e-05
90,4126.7575758635785,0.77311,0.71969,0.77754,0.88945,0.8224,0.81499,0.43423,0.8349,0.35339,0.80274,2e-05,2e-05,2e-05
91,4171.399569566508,0.76232,0.73589,0.78273,0.88778,0.8463,0.80177,0.4414,0.82816,0.33651,0.81408,2e-05,2e-05,2e-05
92,4216.213458383959,0.77739,0.75697,0.77405,0.90422,0.85105,0.81761,0.45603,0.84719,0.35543,0.80337,1e-05,1e-05,1e-05
93,4264.851606102144,0.7417,0.73931,0.76923,0.89013,0.85749,0.80885,0.47052,0.81825,0.33113,0.81535,1e-05,1e-05,1e-05
94,4310.11133553118,0.747,0.70547,0.79523,0.90713,0.85049,0.80624,0.48735,0.86385,0.31392,0.81089,1e-05,1e-05,1e-05
95,4358.774535917258,0.74361,0.72937,0.78268,0.91001,0.85694,0.81379,0.48673,0.85247,0.34667,0.81925,0.0,0.0,0.0
96,4403.370953016714,0.72016,0.72928,0.75909,0.90552,0.87844,0.80417,0.49483,0.82621,0.32901,0.79393,0.0,0.0,0.0
97,4448.764128968295,0.75342,0.69971,0.78843,0.91304,0.8837,0.81345,0.49941,0.80609,0.30259,0.79551,0.0,0.0,0.0
98,4483.773125545635,0.75086,0.71643,0.77416,0.90259,0.89308,0.81016,0.50751,0.8507,0.31262,0.78294,0.0,0.0,0.0
99,4533.354763919147,0.74395,0.71062,0.78193,0.92193,0.90112,0.81167,0.51507,0.82733,0.29977,0.78909,0.0,0.0,0.0
100,4580.087206298637,0.73743,0.68283,0.77601,0.91774,0.91852,0.82851,0.52194,0.84634,0.2897,0.79962,0.0,0.0,0.0
